"","sim","N_actual","N_mean","n_captured","tau","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"1",1,10,7.03671111111111,6,0.15,42,6,10,1,1.24272905440627,0.00585828094365478,9951347
"2",1,10,8.44857777777778,8,0.15,38,8,11,1,0.879618385769677,0.00414656083622736,7932608
"3",1,10,8.58915555555556,8,0.15,34,8,11,1,0.99097359466757,0.00467149432510832,6685683
"4",1,10,5.9194,5,0.15,26,5,9,0,1.15423852788638,0.00544113260116825,7122152
"5",1,10,8.11866666666667,7,0.15,29,7,11,1,1.3170004175322,0.00620839950708357,420962
"6",1,10,7.17173333333333,7,0.15,36,7,9,0,0.549366232899488,0.00258973725758757,9740928
"7",1,10,5.35135555555556,5,0.15,32,5,8,0,0.793590253868836,0.00374102033329472,6748397
"8",1,10,7.90613333333333,7,0.15,34,7,11,1,1.18566355540841,0.00558927160156691,6811484
"9",1,10,6.71415555555556,6,0.15,45,6,10,1,1.10629920414406,0.00521514446181031,7031060
"10",1,10,7.40091111111111,7,0.15,43,7,10,1,0.841069029292239,0.00396483742705686,7279438
"11",1,10,9.18284444444445,8,0.15,34,8,12,1,1.31024402010977,0.0061765495441916,8414015
"12",1,10,5.60877777777778,5,0.15,47,5,8,0,0.99802615011358,0.00470474039031211,9813895
"13",1,10,6.7402,6,0.15,39,6,10,1,1.10514855264222,0.00520972023861207,7750417
"14",1,10,8.87077777777778,8,0.15,46,8,12,1,1.13424335313373,0.00534687444344418,6815074
"15",1,10,5.91953333333333,5,0.15,33,5,9,0,1.17457330145831,0.00553699164307895,258585
"16",1,10,9.70675555555555,9,0.15,38,9,12,1,1.02273481191478,0.00482121813906995,1833737
"17",1,10,8.57253333333333,8,0.15,38,8,11,1,0.910287864408179,0.00429113814503229,1029508
"18",1,10,9.04924444444444,8,0.15,37,8,12,1,1.28064666275359,0.0060370262635799,7706028
"19",1,10,9.66457777777778,9,0.15,33,9,12,1,1.03077316688978,0.00485911130781931,1693501
"20",1,10,5.12337777777778,4,0.15,34,4,8,0,1.31315337979974,0.0061902643972962,9454149
"21",1,10,8.83024444444444,8,0.15,31,8,12,1,1.18345668728744,0.0055788683254768,5128290
"22",1,10,3.9334,3,0.15,26,3,7,0,1.14996349909271,0.00542097992216975,5083839
"23",1,10,7.50457777777778,6,0.15,33,6,11,1,1.45493164256273,0.00685861353745991,9386103
