"","sim","N_actual","N_mean","n_captured","tau","pa_detects_total","N_lower_95","N_upper_95","N_sd","N_naive_se","seed"
"1",1,10,3.93397777777778,3,0.15,26,3,7,1.20065065267654,0.00565992145562426,1150264
"2",1,10,3.88986666666667,3,0.15,19,3,7,1.16668133653006,0.00549978856362795,1071343
"3",1,10,6.47886666666667,6,0.15,34,6,9,0.903040760524809,0.00425697496969966,3084477
"4",1,10,6.43955555555556,5,0.15,31,5,10,1.48233890591669,0.0069878126159356,2264690
"5",1,10,6.10155555555556,5,0.15,32,5,9,1.30911000199973,0.00617120373155431,7618934
"6",1,10,2.50635555555556,2,0.15,29,2,5,0.920374674921437,0.00433868782579542,9852605
"7",1,10,4.59428888888889,4,0.15,34,4,7,0.96455934232707,0.00454697634544205,5292056
"8",1,10,10.3319555555556,7,0.15,32,6,16,2.42677260362345,0.0114399157627992,6752777
"9",1,10,4.45571111111111,4,0.15,31,4,7,0.882251042773187,0.00415897130035882,842728
"10",1,10,5.69788888888889,5,0.15,22,5,8,1.03613462252097,0.00488438545204495,4071420
"11",1,10,4.97264444444444,4,0.15,37,4,8,1.24856258882542,0.00588578048862856,1939878
"12",1,10,4.37388888888889,3,0.15,32,3,8,1.46823003907496,0.00692130277981127,4336363
"13",1,10,3.7486,3,0.15,32,3,7,1.08084411481645,0.00509514801994853,7709129
"14",1,10,5.9468,5,0.15,32,5,9,1.21243656606051,0.00571548078413277,194893
"15",1,10,5.89211111111111,5,0.15,18,5,9,1.14597375091406,0.00540217206888746,1378675
"16",1,10,7.3942,6,0.15,35,6,11,1.40857903414829,0.00664010524588967,88646
"17",1,10,5.20044444444444,4,0.15,30,4,8,1.30995934716058,0.00617520758303968,9476720
"18",1,10,4.72115555555556,4,0.15,31,4,8,1.12115334361968,0.00528516754682296,9303530
"19",1,10,3.56046666666667,3,0.15,29,3,6,0.983287423269025,0.00463526136565983,2468098
"20",1,10,5.06617777777778,4,0.15,32,4,8,1.21681189278431,0.00573610627210816,7373796
"21",1,10,4.47808888888889,3,0.15,31,3,8,1.53818624548792,0.0072510794994159,3980951
"22",1,10,9.08757777777778,7,0.15,32,7,13,1.7200311010416,0.00810830436932184,7500855
"23",1,10,2.86128888888889,2,0.15,34,2,6,1.08342398648379,0.00510730965161899,2543997
"24",1,10,5.62866666666667,5,0.15,29,5,8,0.981699023043121,0.00462777357518667,1777050
"25",1,10,6.89817777777778,6,0.15,31,6,10,1.16766446872083,0.00550442309322057,652303
"26",1,10,3.97508888888889,3,0.15,37,3,7,1.18295744295348,0.00557651486511668,616911
"27",1,10,9.09733333333333,8,0.15,34,8,12,1.25520476894332,0.00591709202598342,4494040
"28",1,10,4.74322222222222,4,0.15,27,4,7,1.05070385674844,0.00495306548083788,6504737
"29",1,10,6.141,5,0.15,28,5,9,1.29481042399637,0.00610379487439239,8046271
"30",1,10,4.49875555555556,4,0.15,31,4,7,0.879175159643937,0.00414447144823329,112911
"31",1,10,5.34428888888889,4,0.15,27,4,9,1.4586223319249,0.00687601161396155,95328
"32",1,10,5.78255555555556,5,0.15,27,5,9,1.0824096341212,0.00510252794872498,4083988
"33",1,10,5.33622222222222,5,0.15,34,5,8,0.76054857704329,0.00358526037499393,3363294
"34",1,10,4.81962222222222,4,0.15,40,4,8,1.11273548576908,0.0052454853843615,7461041
"35",1,10,6.94215555555556,6,0.15,37,6,10,1.1883867979959,0.00560210909023646,6754220
"36",1,10,3.50115555555556,2,0.15,30,2,7,1.56588911144095,0.00738167206190718,6476490
"37",1,10,8.66531111111111,7,0.15,32,7,13,1.65108029760042,0.00778326716477841,11256
"38",1,10,4.13104444444444,3,0.15,30,3,8,1.34094518112404,0.0063212762051482,9702641
"39",1,10,8.93835555555555,8,0.15,30,8,12,1.16419121808808,0.00548805003271939,3018501
"40",1,10,2.76375555555556,2,0.15,30,2,6,1.06050941628522,0.00499928933178312,2957610
"41",1,10,5.61688888888889,5,0.15,26,5,8,1.00677900088904,0.00474600172456572,2860828
"42",1,10,5.92748888888889,5,0.15,22,5,9,1.17647099721962,0.00554593746668862,6081810
"43",1,10,4.858,4,0.15,30,4,8,1.17024204017263,0.00551657388157096,7671443
"44",1,10,4.00622222222222,3,0.15,33,3,7,1.21782812948234,0.00574089685784462,9289107
"45",1,10,6.03168888888889,5,0.15,24,5,9,1.23650349853795,0.00582893339184716,3250374
"46",1,10,3.63571111111111,2,0.15,33,2,8,1.6339854626916,0.00770268134019646,8631886
"47",1,10,3.83364444444444,3,0.15,22,3,7,1.12142686797105,0.00528645695298081,7265087
"48",1,10,5.0058,4,0.15,34,4,8,1.23862845653707,0.00583895053991993,7985163
"49",1,10,6.42164444444444,5,0.15,34,5,10,1.379078759892,0.00650103961939981,456382
"50",1,10,2.82324444444444,2,0.15,29,2,6,1.16301752084696,0.00548251717086433,8932172
"51",2,10,6.15297777777778,5,0.15,35,5,9,1.29218652526805,0.00609142569716612,1799822
"52",2,10,5.03862222222222,4,0.15,39,4,8,1.21318997694964,0.00571903239712427,9270920
"53",2,10,5.35633333333333,4,0.15,39,4,9,1.37416708781223,0.00647788577516931,567596
"54",2,10,5.16788888888889,4,0.15,29,4,9,1.33380307121385,0.0062876079761517,2363063
"55",2,10,5.91848888888889,5,0.15,35,5,9,1.18135903709451,0.00556897990763692,2171715
"56",2,10,4.83866666666667,4,0.15,33,4,8,1.1621251657096,0.00547831056840534,81626
"57",2,10,5.03024444444444,4,0.15,28,4,8,1.23489416797749,0.0058213469348307,2918249
"58",2,10,7.96691111111111,7,0.15,24,7,11,1.20514805938053,0.0056811224341452,5312502
"59",2,10,2.75188888888889,2,0.15,30,2,5,1.049316608399,0.00494652592940401,7590195
"60",2,10,6.96168888888889,6,0.15,30,6,10,1.18941037065032,0.00560693425800299,2857582
"61",2,10,5.02108888888889,4,0.15,24,4,8,1.17100486664557,0.0055201698800502,4105631
"62",2,10,5.07291111111111,4,0.15,28,4,8,1.25525875436975,0.00591734651572417,9238640
"63",2,10,5.31484444444444,4,0.15,31,4,9,1.36548850412156,0.00643697453931086,2779479
"64",2,10,3.27073333333333,2,0.15,34,2,7,1.42167879612332,0.00670185811605284,6605554
"65",2,10,6.51175555555556,6,0.15,37,6,9,0.914678060510491,0.00431183372793018,4137448
"66",2,10,5.74822222222222,5,0.15,33,5,9,1.05815854175783,0.00498820720298285,8383195
"67",2,10,5.04911111111111,4,0.15,31,4,8,1.27628883318985,0.00601648325800807,1827958
"68",2,10,5.51188888888889,5,0.15,31,5,8,0.915137839304481,0.00431400114595069,5093784
"69",2,10,5.53233333333333,5,0.15,30,5,8,0.907790713570034,0.00427936646309031,9274419
"70",2,10,5.44635555555556,5,0.15,28,5,8,0.84173380361816,0.00396797120328231,1759511
"71",2,10,9.80417777777778,7,0.15,32,7,14,1.94918908447057,0.00918856546295959,9963845
"72",2,10,7.05644444444444,6,0.15,35,6,10,1.27370198352723,0.0060042887317524,8619602
"73",2,10,5.69402222222222,5,0.15,38,5,8,0.978172318366841,0.00461114852990773,6831826
"74",2,10,7.64864444444444,7,0.15,30,7,10,1.01885289934145,0.0048029186277061,3984165
"75",2,10,3.98651111111111,3,0.15,30,3,7,1.17785303348662,0.00555245244813021,6521682
"76",2,10,2.74506666666667,2,0.15,33,2,5,1.04921669889368,0.00494605495147925,6828902
"77",2,10,4.8904,4,0.15,39,4,8,1.1591452446398,0.0054642630857663,3586931
"78",2,10,5.69384444444444,5,0.15,30,5,9,1.05257570671746,0.00496188946621427,4931130
"79",2,10,4.98848888888889,4,0.15,32,4,8,1.20112428762018,0.0056621541921606,9868636
"80",2,10,7.1144,6,0.15,34,6,10,1.28044010078872,0.00603605252113925,7928100
"81",2,10,2.85924444444444,2,0.15,36,2,6,1.14396739437325,0.00539271401345087,8550905
"82",2,10,6.78522222222222,6,0.15,21,6,10,1.07592162441859,0.00507194317767756,7474337
"83",2,10,5.80977777777778,5,0.15,30,5,9,1.10699717173699,0.00521843471259702,7775330
"84",2,10,2.9314,2,0.15,28,2,6,1.16840439126587,0.00550791112154824,1892440
"85",2,10,5.41433333333333,5,0.15,27,5,8,0.897757217465607,0.00423206810886064,7560912
"86",2,10,5.69115555555556,5,0.15,33,5,9,1.06935934549119,0.00504100829814687,5160708
"87",2,10,7.14015555555556,6,0.15,28,6,10,1.29192971939491,0.00609021510267047,5591187
"88",2,10,5.22255555555556,4,0.15,34,4,9,1.32793799663182,0.00625995974942426,6284655
"89",2,10,4.73268888888889,4,0.15,37,4,8,1.13776397817351,0.00536347082904181,4528881
