"","sim","N_actual","N_mean","N_bias","n_captured","tau","nsites","ntraps","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"1",1,10,2.55357777777778,-0.744642222222222,2,0.15,16,3,38,2,5,0,0.913839994277055,0.00430788304581854,2519763
"2",1,10,3.70431111111111,-0.629568888888889,3,0.15,16,3,27,3,6,0,1.01439191018716,0.00478188932316077,6662812
"3",1,10,2.85662222222222,-0.714337777777778,2,0.15,16,3,34,2,6,0,1.13490297757166,0.00534998394286485,9720945
"4",1,10,4.81931111111111,-0.518068888888889,4,0.15,16,3,31,4,8,0,1.07526714865434,0.00506885794933738,1898988
"5",1,10,3.13706666666667,-0.686293333333333,2,0.15,16,3,38,2,6,0,1.26222172734067,0.00595017028509057,4486471
"6",1,10,10.7077333333333,0.07077333333333,7,0.15,16,3,30,7,16,1,2.43526881625558,0.011479967293243,9299475
"7",1,10,3.75028888888889,-0.624971111111111,3,0.15,16,3,29,3,6,0,1.0452653977095,0.00492742833906695,7923237
"8",1,10,2.7778,-0.72222,2,0.15,16,3,29,2,6,0,1.09120130458018,0.00514397228072169,7087826
"9",1,10,2.84646666666667,-0.715353333333333,2,0.15,16,3,32,2,6,0,1.122947502593,0.00529362529333339,287678
"10",1,10,9.2798,-0.07202,7,0.15,16,3,31,7,14,1,1.81905559846171,0.00857511032685086,5533245
"11",1,10,3.72593333333333,-0.627406666666667,3,0.15,16,3,32,3,6,0,1.0360181158169,0.00488383623417495,2311435
"12",1,10,3.07246666666667,-0.692753333333333,2,0.15,16,3,30,2,6,0,1.30179688529296,0.00613672936878786,8739475
"13",1,10,3.83348888888889,-0.616651111111111,3,0.15,16,3,33,3,7,0,1.08226617741071,0.00510185168730636,9143291
"14",1,10,5.55682222222222,-0.444317777777778,5,0.15,16,3,40,5,8,0,0.949123647412307,0.00447421178179835,5652430
"15",1,10,3.47033333333333,-0.652966666666667,2,0.15,16,3,35,2,7,0,1.55723986588807,0.00734089912735658,7694243
"16",1,10,3.65224444444444,-0.634775555555556,3,0.15,16,3,29,3,6,0,0.96733205883701,0.00456004705641863,5578636
"17",1,10,3.73142222222222,-0.626857777777778,3,0.15,16,3,29,3,6,0,1.05224707915641,0.00496034030103488,8880572
"18",1,10,9.00293333333333,-0.0997066666666671,7,0.15,16,3,31,7,14,1,1.85536492474604,0.00874627413242394,9348328
"19",1,10,3.41564444444444,-0.658435555555556,3,0.15,16,3,21,3,6,0,0.787462964335908,0.00371213601343454,964825
"20",1,10,5.55131111111111,-0.444868888888889,5,0.15,16,3,40,5,8,0,0.933028440515856,0.00439833824885781,2712495
"21",2,10,9.25091111111111,-0.074908888888889,9,0.35,16,3,27,9,11,1,0.587164701611458,0.00276792094788559,755824
"22",2,10,9.23488888888889,-0.0765111111111111,9,0.35,16,3,30,9,11,1,0.613724532890897,0.00289312519325133,7525231
"23",2,10,6.55031111111111,-0.344968888888889,6,0.35,16,3,17,6,9,0,0.888705493549137,0.00418939787310888,2622716
"24",2,10,9.12124444444444,-0.0878755555555561,9,0.35,16,3,30,9,10,1,0.414907284399934,0.00195589169575259,3778170
"25",2,10,9.09737777777778,-0.090262222222222,9,0.35,16,3,18,9,10,1,0.360105547915651,0.0016975538324937,8500954
"26",2,10,10.1891555555556,0.0189155555555599,10,0.35,16,3,29,10,12,1,0.497016765574057,0.00234295950200547,3938796
"27",2,10,10.0664222222222,0.00664222222222008,10,0.35,16,3,19,10,11,1,0.288619213914513,0.00136056402226455,4955028
"28",2,10,10.0373333333333,0.00373333333333008,10,0.35,16,3,16,10,11,1,0.20652267304178,0.00097355721717743,7999882
"29",2,10,9.04662222222222,-0.095337777777778,9,0.35,16,3,17,9,10,1,0.237872195421507,0.00112134028292186,9730817
"30",2,10,8.16513333333333,-0.183486666666667,8,0.35,16,3,20,8,9,0,0.465381821261724,0.00219383094436741,2335349
"31",2,10,10.1029777777778,0.01029777777778,10,0.35,16,3,22,10,11,1,0.370793097901099,0.0017479354262869,1220548
"32",2,10,8.47524444444444,-0.152475555555556,8,0.35,16,3,20,8,11,1,0.832120647447539,0.0039226543505033,7251795
"33",2,10,8.62657777777778,-0.137342222222222,8,0.35,16,3,29,8,11,1,0.97305886337112,0.00458704347188929,7102636
"34",2,10,9.10088888888889,-0.0899111111111109,9,0.35,16,3,26,9,10,1,0.380003182643493,0.00179135218213123,3740150
"35",2,10,10.6051111111111,0.06051111111111,10,0.35,16,3,23,10,13,1,0.894174032174004,0.00421517681140771,5898617
"36",2,10,9.09382222222222,-0.0906177777777779,9,0.35,16,3,18,9,10,1,0.35112536117768,0.00165522082623542,6072190
"37",2,10,8.06073333333333,-0.193926666666667,8,0.35,16,3,23,8,9,0,0.296089456038241,0.00139577908134984,4835447
"38",2,10,7.3754,-0.26246,7,0.35,16,3,25,7,9,0,0.709144565828988,0.00334293954226178,8536139
"39",2,10,7.04675555555556,-0.295324444444444,7,0.35,16,3,21,7,8,0,0.244207832642455,0.00115120676320233,4467268
"40",2,10,10.3718666666667,0.0371866666666699,10,0.35,16,3,25,10,12,1,0.703604659505715,0.00331682417340629,9715513
"41",3,10,10.0369555555556,0.00369555555556005,10,0.55,16,3,13,10,11,1,0.237187182006599,0.00111811109871596,9392408
"42",3,10,10.0418444444444,0.00418444444444006,10,0.55,16,3,14,10,11,1,0.250433829282705,0.00118055639282877,6975667
"43",3,10,10.0136444444444,0.00136444444444006,10,0.55,16,3,16,10,10,1,0.134795357725832,0.000635431410136015,9871095
"44",3,10,10.0224222222222,0.00224222222222004,10,0.55,16,3,14,10,10,1,0.198125394157313,0.000933972064892626,2973447
"45",3,10,10.1868666666667,0.0186866666666701,10,0.55,16,3,7,10,12,1,0.530742035835125,0.00250194195066514,9646039
"46",3,10,10.1878222222222,0.01878222222222,10,0.55,16,3,21,10,12,1,0.567623677652275,0.00267580367753314,5893898
"47",3,10,9.27304444444444,-0.0726955555555559,9,0.55,16,3,19,9,11,1,0.618321836964199,0.00291479709248739,5548141
"48",3,10,10.2426666666667,0.02426666666667,10,0.55,16,3,18,10,12,1,0.599526469288469,0.0028261948795647,3723692
