"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion"
"1",1,10,4.48,57.54,0.15,49,3,5.18268222222222,1.92919896100333,-0.481731777777778,0.969032045663404,-0.497702380495045,8,8,0.0045680608711711,0.12
"2",2,10,5.5,60.5,0.15,49,4,5.97393333333333,1.52615642257694,-0.402606666666666,0.699624883197951,-0.541577211321088,8,8,0.00329806332797411,0
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4",3,10,5.52,57.74,0.15,49,5,5.99997688888889,1.37803438202903,-0.400002311111111,0.800581064471114,-0.41904129903324,8,8,0.0037739753305138,0.12
"5",4,10,5.84,58.34,0.15,49,6,6.31219955555556,1.81503881452189,-0.368780044444444,0.780165523216359,-0.570165928698407,8,8,0.00367773554609492,0.32
"6",5,10,3.95,73.5,0.15,49,3,4.54318222222222,2.0707960288352,-0.545681777777778,0.90104785530307,-0.564878509154811,10,8,0.00424758032438931,0.04
"7",6,10,5.12,71.82,0.15,49,4,5.78458266666667,1.70537680178467,-0.421541733333333,0.942703895522991,-0.447216653506452,10,8,0.00444394878116854,0.12
"8",7,10,5.76,74.1,0.15,49,5,6.32193244444444,1.61555739538932,-0.367806755555556,0.871042128676508,-0.460841112075376,10,8,0.0041061319725755,0.36
"9",8,10,6.52,70.32,0.15,49,6,6.98547466666666,1.44271029485672,-0.301452533333334,0.76845141699367,-0.4673556986921,10,8,0.00362251471979091,0.38
"10",9,10,4.36,85.68,0.15,49,3,5.16213155555556,1.6839409694728,-0.483786844444444,1.04402337786853,-0.380011890680828,12,8,0.0049215734013875,0.12
"11",10,10,5.2,86.52,0.15,49,4,5.90071955555555,1.90111576463256,-0.409928044444445,0.960066698217554,-0.494998297274594,12,8,0.00452579781800674,0.26
"12",11,10,5.54,85.76,0.15,49,5,6.06782711111111,1.30064256965714,-0.393217288888889,0.838645133117298,-0.355207070195795,12,8,0.00395341107090891,0.16
"13",12,10,6.12,86.92,0.15,49,6,6.655876,1.71481239184077,-0.3344124,0.836319381085992,-0.51229686403873,12,8,0.00394244737069094,0.36
"14",13,10,3.69230769230769,101.538461538462,0.15,49,3,4.4603811965812,1.45574319477136,-0.55396188034188,1.02616397314177,-0.295092721829323,14,8,0.00483738336011917,0
"15",14,10,4.82,99.36,0.15,49,4,5.47443333333333,1.5949247147244,-0.452556666666667,0.947039160609242,-0.406217013338533,14,8,0.00446438541677341,0.14
"16",15,10,5.5,98.18,0.15,49,5,6.11627377777778,1.76921589619975,-0.388372622222222,0.898212416961644,-0.492310452957725,14,8,0.00423421393986359,0.24
"17",16,10,6.18,98.94,0.15,49,6,6.71584711111111,1.55394203695731,-0.328415288888889,0.835042079029691,-0.462629841287553,14,8,0.00393642611105338,0.34
"18",17,10,5,58.34,0.15,49,3,5.66503511111111,2.6107122755642,-0.433496488888889,0.921419231820781,-0.647062129195507,8,10,0.00434361191424116,0.18
"19",18,10,5.5,56.28,0.15,49,4,6.12023555555555,2.19367017963547,-0.387976444444445,0.878414293516446,-0.599568658191626,8,10,0.00414088469091113,0.24
"20",19,10,6.08,58.4,0.15,49,5,6.50414844444444,1.43969782092616,-0.349585155555556,0.743523422479688,-0.483555915920345,8,10,0.00350500302670945,0.3
"21",20,10,6.1,57.56,0.15,49,6,6.608464,1.63580346978448,-0.3391536,0.816900034955089,-0.500612359586987,8,10,0.00385090369512181,0.38
"22",21,10,4.86,71.56,0.15,49,3,5.54727333333333,2.3061537034881,-0.445272666666667,0.950547632412785,-0.587821214615893,10,10,0.00448092451146599,0.14
"23",22,10,5.24,74.44,0.15,49,4,5.82079466666667,2.01258046993854,-0.417920533333333,0.885616317334612,-0.559959797601704,10,10,0.00417483535677841,0.26
"24",23,10,5.7,71.72,0.15,49,5,6.27438622222222,1.58713893842799,-0.372561377777778,0.869990413671908,-0.45184987110605,10,10,0.00410117414049797,0.22
"25",24,10,6.16,72.26,0.15,49,6,6.61967777777778,1.30417355420822,-0.338032222222222,0.776323722370173,-0.404738947615381,10,10,0.00365962512322622,0.3
"26",25,10,4.9,84.28,0.15,49,3,5.59741244444445,2.04751204480432,-0.440258755555555,0.970014650928578,-0.526247157671161,12,10,0.00457269291681266,0.14
"27",26,10,4.96,83.84,0.15,49,4,5.57033244444445,1.89754298986258,-0.442966755555555,0.902033659707426,-0.524630712175459,12,10,0.0042522274509176,0.16
"28",27,10,5.86,86.88,0.15,49,5,6.38481111111111,1.51855726102321,-0.361518888888889,0.827423117503255,-0.455125507123955,12,10,0.00390050998198043,0.28
"29",28,10,6.54,86.88,0.15,49,6,7.01243866666667,1.79165931234581,-0.298756133333333,0.78113710016968,-0.564014712625839,12,10,0.00368231560377584,0.44
"30",29,10,4.48,102.26,0.15,49,3,5.12855066666667,1.80987498667118,-0.487144933333333,0.93035061638832,-0.485958630712128,14,10,0.00438571486486177,0.1
"31",30,10,5.26,101.42,0.15,49,4,5.84118177777778,1.76925430295502,-0.415881822222222,0.869203726904815,-0.508717471845024,14,10,0.00409746566351343,0.14
