"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","credible_width","psi0_mean","psi0_sd","p","sigma","delta"
"1",1,10,2,41,0.15,64,5,3.16468888888889,NA,-0.683531111111111,1.37561608794885,NA,5,7,0.00648471642731959,0,5,0.897560933303397,0.0938835857962517,0.1,1,1
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"3",2,10,4.16666666666667,65.5,0.15,64,5,5.93571851851852,3.33758151074584,-0.406428148148148,1.62587295703754,-0.512858951368588,5,7,0.0076644386217938,0.04,5.83333333333333,0.915502290870725,0.0743663464209218,0.1,1,2
"4",3,10,3,97.3333333333333,0.15,64,5,4.12881481481482,0.204869681352436,-0.587118518518518,1.31308176440176,5.40935132877408,5,7,0.00618992679907252,0,4.33333333333333,0.936340312225675,0.0559483391123621,0.1,1,3
"5",4,10,4,117.333333333333,0.15,64,5,5.93737037037037,3.90519590127372,-0.406262962962963,1.66555314048557,-0.573503306212544,5,7,0.00785149280042596,0.02,6.33333333333333,0.94422401046936,0.0472225493510527,0.1,1,4
"6",6,10,5,113.8,0.15,64,5,7.452,3.7197660739207,-0.2548,1.90823268430066,-0.487001965613027,5,7,0.00899549514100538,0.06,7,0.952580567217726,0.0442356427326986,0.1,2,2
"7",7,10,3.8,152.8,0.15,64,5,5.76576,2.78043237362397,-0.423424,1.714361414575,-0.383419129039803,5,7,0.00808157721100361,0.02,6,0.959496720617221,0.037142323935668,0.1,2,3
"8",8,10,3,186,0.15,64,5,4.93086666666667,NA,-0.506913333333333,1.73976341288587,NA,5,7,0.00820132337941232,0,6,0.974910909547374,0.0236141422959003,0.1,2,4
"9",10,10,7,134,0.15,64,5,8.43528888888889,NA,-0.156471111111111,1.36549076085781,NA,5,7,0.00643698517766759,0.02,5,0.890297599260236,0.0829671117569844,0.1,3,2
"10",11,10,4.42857142857143,184.857142857143,0.15,64,5,6.89354603174604,3.47815195963281,-0.310645396825396,1.8930064358109,-0.455743608162896,5,7,0.00892371791727778,0.08,6.85714285714286,0.971687116301295,0.0265057622305243,0.1,3,3
"11",12,10,5.625,211.625,0.15,64,5,8.29486666666666,2.92811575580014,-0.170513333333334,1.95117432546886,-0.333641669867768,5,7,0.00919792397877411,0.1,7.125,0.970165528248383,0.0285672941813678,0.1,3,4
"12",13,10,2,116.5,0.15,64,5,3.13556666666666,0.256774042474872,-0.686443333333334,1.31096142581645,4.10550604407272,5,7,0.00617993142712529,0,4.5,0.901577751386025,0.069352635344507,0.1,4,1
