"","sim","N_actual","n_captured","pa_detects","tau","N_mean","N_sd","N_naive_se","lower_95_N","upper_95_N"
"1",1,10,3.77,43.87,0.15,4.96942866666667,1.31010261000528,0.0061758829305662,3.76,8.29
"2",2,10,5.07,40.25,0.2,6.12648511111111,1.25429408066103,0.00591279900025038,5.07,9.30025000000001
"3",3,10,6.45,37.74,0.25,7.39198311111111,1.18172188615805,0.00557069039452612,6.45,10.47
"4",4,10,7.55,34.35,0.3,8.39660866666667,1.13252802031832,0.00533878828700576,7.55,11.29
"5",5,10,8.24,31.11,0.350000000000001,9.11019311111111,1.13568199501067,0.00535365626629006,8.24,12.06
"6",6,10,9.21,28.6,0.399999999999999,9.93345866666667,1.0429751459919,0.00491663198893269,9.21,12.71
"7",7,10,9.49,26.06,0.45,10.2446873333333,1.07382316608217,0.00506205095021273,9.49,13.09
"8",8,10,9.74,23.67,0.5,10.4001006666667,1.01099581852884,0.00476587999355327,9.74,13.17025
"9",9,10,9.87,22.17,0.549999999999999,10.4842157777778,1.00932628220024,0.00475800972382396,9.87,13.31
"10",10,25,8.53,78.19,0.15,9.666748,1.29035602240283,0.00608279662390627,8.53,12.97
"11",11,25,12.52,73.88,0.2,13.5598206666667,1.20970382628902,0.00570259852530853,12.52,16.63
"12",12,25,16.49,71.02,0.25,17.4346413333333,1.13241055437008,0.00533823454721533,16.49,20.30025
"13",13,25,18.97,66.81,0.3,19.8080382222222,1.05596554430708,0.00497786931385921,18.97,22.53
"14",14,25,21.13,62.9,0.350000000000001,21.8147351111111,0.946497751862004,0.00446183319146297,21.13,24.26
"15",15,25,22.62,58.59,0.399999999999999,23.2530544444444,0.896637027864446,0.00422678748443934,22.62,25.63
"16",16,25,23.71,53.29,0.45,24.2861748888889,0.859495796090445,0.00405170203877922,23.71,26.55
"17",17,25,24.34,49.48,0.5,24.8082377777778,0.757306497485167,0.0035699770653893,24.34,26.82
"18",18,25,24.66,45.99,0.549999999999999,24.9742348888889,0.605055796814803,0.00285226037949318,24.66,26.58
"19",19,50,16.59,101.94,0.15,17.8212388888889,1.30072210628582,0.00613166281195969,16.59,21.07
"20",20,50,25.04,99.47,0.2,26.1363026666667,1.1947657936661,0.00563217996420683,25.04,29.11
"21",21,50,32.64,96.49,0.25,33.6198493333333,1.10778727266235,0.00522215928407801,32.64,36.38
"22",22,50,38.09,93.27,0.3,39.0471988888889,1.08834237841042,0.00513049517351135,38.09,41.77
"23",23,50,41.91,90.51,0.350000000000001,42.7754437777778,1.0223094360051,0.00481921289780132,41.91,45.32
"24",24,50,45.82,85.82,0.399999999999999,46.4903004444444,0.87616697964761,0.00413029075173707,45.82,48.75
"25",25,50,47.45,80.68,0.45,47.9629131111111,0.76207743662175,0.00359246748816334,47.45,49.92
"26",26,50,48.44,77.21,0.5,48.8463004444444,0.653908735114105,0.00308255533917535,48.44,50.59
"27",27,50,49.18,73.12,0.549999999999999,49.4945033333333,0.555582430335297,0.00261904069332128,49.18,50.98
"28",28,75,25.57,108.8,0.15,26.78577,1.25292774066578,0.00590635801174342,25.57,29.86
"29",29,75,37.67,107.29,0.2,38.9156326666667,1.24265748183358,0.00585794354731147,37.67,41.99
"30",30,75,50.6,105.7,0.25,51.7897457777778,1.19406157101797,0.0056288602268071,50.6,54.66
"31",31,75,56.59,103.83,0.3,57.6798524444444,1.13438624813624,0.00534754805694602,56.59,60.47
"32",32,75,64.23,101.56,0.350000000000001,65.0870504444444,0.989348056816449,0.00466383146619097,64.23,67.56
"33",33,75,69.32,98.45,0.399999999999999,70.002776,0.867044477285,0.00408728686319046,69.32,72.16
"34",34,75,70.91,96.54,0.45,71.5282864444444,0.817041632812471,0.00385157119382285,70.91,73.51
"35",35,75,72.51,91.86,0.5,72.9362768888889,0.650601820416448,0.00306696639379189,72.51,74.62
"36",36,75,73.95,88.89,0.549999999999999,74.2499808888889,0.526553102968044,0.00248219513175681,73.95,75.56
"37",37,100,33.57,110.95,0.15,34.8651175555556,1.27668745441188,0.00601836237646955,33.57,37.96
"38",38,100,48.37,110.4,0.2,49.6771593333333,1.25516069533613,0.00591688426100665,48.37,52.71
"39",39,100,66.49,109.3,0.25,67.7787306666666,1.22500726421184,0.00577473962351313,66.49,70.7
"40",40,100,77.69,108.38,0.3,78.8490326666666,1.14938242322888,0.00541824070427847,77.69,81.6
"41",41,100,86.28,107.27,0.350000000000001,87.2984228888889,1.06699919088683,0.00502988242264426,86.28,89.9
"42",42,100,92.46,105.63,0.399999999999999,93.1741624444444,0.880157271306322,0.00414910116700899,92.46,95.35
"43",43,100,95.22,103.59,0.45,95.856588,0.81582284884125,0.00384582579108384,95.22,97.87
"44",44,100,97.46,100.64,0.5,97.914677111111,0.660506521536928,0.00311365760264467,97.46,99.57
"45",45,100,98.19,97.78,0.549999999999999,98.5860684444445,0.61269407032663,0.00288826754613832,98.19,100.15
"46",46,125,44.35,111.66,0.15,45.8255373333333,1.34284449492543,0.00633022965627199,44.35,48.99
"47",47,125,62.93,111.3,0.2,64.39475,1.31232351808396,0.00618635239165171,62.93,67.49
"48",48,125,79.29,110.89,0.25,80.734898,1.29395622086578,0.00609976812221808,79.29,83.77
"49",49,125,93.44,110.41,0.3,94.7075284444445,1.19955239371514,0.00565474421323023,93.44,97.57
"50",50,125,106.09,109.6,0.350000000000001,107.187400444444,1.10230298858801,0.00519630612101855,106.09,109.81
"51",51,125,114.57,108.8,0.399999999999999,115.445661333333,0.968426944030326,0.00456520839471739,114.57,117.77
"52",52,125,117.87,107.57,0.45,118.549821777778,0.824920679624676,0.00388871337669082,117.87,120.62
"53",53,125,121.92,105.52,0.5,122.395955555556,0.665183636059389,0.00313570573194612,121.92,124.09
"54",54,125,123.24,103.98,0.549999999999999,123.591128666667,0.55646045028149,0.00262317971904107,123.24,125.04025
"55",55,150,50.34,111.83,0.15,51.8760102222222,1.35829830787642,0.00640307962915753,50.34,55.06
"56",56,150,74.82,111.74,0.2,76.4117,1.36104671551683,0.0064160357470242,74.82,79.64
"57",57,150,98.28,111.47,0.25,99.9155271111111,1.36016575640111,0.00641188286592636,98.28,103.12
"58",58,150,113.76,111.21,0.3,115.130390444444,1.23434346375414,0.00581875089022561,113.76,118.06
"59",59,150,125.57,111.07,0.350000000000001,126.785635111111,1.15520170342775,0.00544567305421341,125.57,129.52
"60",60,150,134.86,110.44,0.399999999999999,135.900217555556,1.05396636064005,0.00496844507167389,134.86,138.48
"61",61,150,142.64,109.51,0.45,143.374346,0.869222822438271,0.00409755568072141,142.64,145.52
"62",62,150,146.73,108.35,0.5,147.201949111111,0.670732509641375,0.00316186337286459,146.73,148.87
"63",63,150,148.46,107.03,0.549999999999999,148.777759555556,0.527285516402753,0.00248564776179892,148.46,150.1
"64",64,175,58.05,111.97,0.15,59.71292,1.40961122100328,0.00664497102138713,58.05,63.00025
"65",65,175,88.59,111.87,0.2,90.3441531111111,1.42182659025432,0.00670255482426781,88.59,93.62025
"66",66,175,113.75,111.81,0.25,115.411045111111,1.36739820486597,0.0064459769549536,113.75,118.60025
"67",67,175,132.7,111.63,0.3,134.220780666667,1.29663714681434,0.00611240612833866,132.7,137.24
"68",68,175,149.58,111.42,0.350000000000001,150.851671555555,1.17978563090008,0.00556156279970595,149.58,153.64025
"69",69,175,157.11,111.19,0.399999999999999,158.156614444444,1.05565975475889,0.00497642780810495,157.11,160.67
"70",70,175,165.68,110.57,0.45,166.444098222222,0.883499937914184,0.00416485864851342,165.68,168.59
"71",71,175,169.89,109.94,0.5,170.505091333333,0.749539558979018,0.00353336336614425,169.91,172.37
"72",72,175,173.07,109.24,0.549999999999999,173.303376,0.545339764804986,0.00257075630496188,172.97,174.70025
"73",73,200,66.75,111.99,0.15,68.4438737777778,1.41297602120398,0.00666083284164881,66.75,71.74
"74",74,200,100.41,111.95,0.2,102.268110444444,1.45335048459921,0.00685115988733903,100.41,105.6
"75",75,200,130.44,111.97,0.25,132.192072888889,1.39920952950713,0.00659593697743554,130.44,135.43025
"76",76,200,153.15,111.78,0.3,153.543036666667,1.33593211697432,0.00629764439411628,151.92,156.67
"77",77,200,171.63,111.81,0.350000000000001,166.780631777778,1.23256804010057,0.00581038146285951,165.38,169.59
"78",78,200,181.49,111.54,0.399999999999999,172.512298666667,1.22509278061409,0.00577514275169939,171.11,175.36
"79",79,200,189.63,111.16,0.45,176.780428666667,1.26751757182068,0.00597513513538338,175.33,179.64
"80",80,200,194.61,110.91,0.5,184.199221333333,1.20186318879762,0.00566563740571523,182.88,186.89
"81",81,200,197.33,110.15,0.549999999999999,181.984834222222,1.25962642497317,0.00593793591240195,180.58,184.88
