"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","N_naive_se","credible_proportion"
"1",1,10,6.4,34.94,0.15,4096,3,7.24820666666667,1.57323700998588,-0.275179333333333,1.12306924104282,-0.286141100219287,0.00529419917388938,0.64
"2",2,10,8.86,31.16,0.35,4096,3,9.73994844444445,1.11947060116695,-0.0260051555555554,1.14230894247104,0.0204010192677528,0.00538489599620872,0.96
"3",3,10,9.6,26.6,0.45,4096,3,10.2396097777778,0.863783941474486,0.0239609777777774,0.986359306130554,0.141905120911174,0.00464974236034248,0.98
"4",4,10,9.92,20.54,0.5,4096,3,10.5109017777778,0.478361214450811,0.0510901777777779,0.968695535094387,1.02502942511029,0.00456647454513581,1
"5",5,10,9.98,16.28,0.55,4096,3,10.4625973333333,0.282738021757145,0.0462597333333332,0.955644717289043,2.37996535220114,0.00450495240000122,1
"6",6,25,15.86,70.48,0.15,4096,3,16.7760177777778,3.53071212271184,-0.328959288888889,1.12862778465923,-0.6803399015742,0.00532040239978729,0.08
"7",7,25,20.92,63.18,0.35,4096,3,21.5489053333333,2.94744111752911,-0.138043786666667,0.905240445421036,-0.692872424138565,0.00426734438374364,0.54
"8",8,25,23.7142857142857,53.8775510204082,0.45,4096,3,24.2751904761905,1.57290011236485,-0.028992380952381,0.85070637502058,-0.459147870654325,0.00401026831050452,0.84
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10",9,25,24.74,47.44,0.5,4096,3,25.0869528888889,0.634521317233298,0.00347811555555552,0.631525113813085,-0.00472199016618931,0.00297703793644559,1
"11",10,25,24.9574468085106,38.5106382978723,0.55,4096,3,25.1496510638298,0.254754938749536,0.00598604255319141,0.469472967798038,0.842841477784278,0.00221311679409178,0.94
"12",11,50,33.0789473684211,96.0789473684211,0.15,4096,3,34.2102380116959,5.66540097091567,-0.315795239766082,1.19297777113101,-0.789427477903971,0.00562375114514365,0
"13",12,50,41.8648648648649,90,0.35,4096,3,42.7724660660661,4.54196191055591,-0.144550678678679,1.05398204831039,-0.767945643520073,0.0049685190240611,0.08
"14",13,50,47.8292682926829,81.5853658536585,0.45,4096,3,48.3818742547425,2.4149032746502,-0.0323625149051491,0.785423153793544,-0.674759994721813,0.00370252025432227,0.68
"15",14,50,49.4222222222222,72.4222222222222,0.5,4096,3,49.6951061728395,0.922867890404716,-0.00609787654320978,0.501981549120499,-0.456063479573052,0.00236636371609089,0.84
"16",15,50,49.9523809523809,63.2142857142857,0.55,4096,3,50.0766656084656,0.211146988932627,0.00153331216931218,0.330746032776851,0.566425523985969,0.00155915175084706,0.84
