"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","psi0_mean","psi0_sd"
"1",1,10,4.5,31.4,0.15,16,3,5.25286044444444,1.69430003592092,-0.474713955555556,1.02389875427651,-0.395680379762266,5,7,0.00482670501598254,0.14,0.908944948391034,0.0855704649269198
"2",2,10,4.38,31.26,0.15,16,4,5.08138888888889,1.36382077298167,-0.491861111111111,1.00428581681845,-0.263623317143927,5,7,0.00473424874214531,0.12,0.90244152795364,0.0890913999420234
"3",3,10,5.32,31.78,0.15,16,5,5.96198,1.49989397451943,-0.403802,0.931788787216711,-0.37876356392774,5,7,0.0043924944671635,0.2,0.910579668355001,0.0839017603789158
"4",4,10,6.06,31.84,0.15,16,6,6.63864044444444,1.86730220192717,-0.336135955555556,0.889985238405456,-0.523384464771188,5,7,0.00419543064821616,0.44,0.904699555027809,0.0871065604770025
"5",5,10,4.16666666666667,34.75,0.15,25,3,4.93470555555555,1.4453465088521,-0.506529444444444,1.04737549562165,-0.275346438236824,5,7,0.00493737543601792,0.02,0.898362093596508,0.0882162261616764
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"7",6,10,4.62,33.64,0.15,25,4,5.17293688888889,1.45636856910867,-0.482706311111111,0.886272767449938,-0.391450223350839,5,7,0.0041779298922988,0.08,0.887924605766937,0.0975857701028956
"8",7,10,5.48,34.02,0.15,25,5,5.95414888888889,1.67893815216213,-0.404585111111111,0.795057886530815,-0.526451950891138,5,7,0.00374793882001189,0.22,0.864793732140327,0.108076257171054
"9",8,10,6.04,34.02,0.15,25,6,6.52978355555556,1.26970562133265,-0.347021644444444,0.80391836201075,-0.366846654449733,5,7,0.00378970750198789,0.26,0.888793631418436,0.0966560830475433
"10",9,10,4.28,34.4,0.15,36,3,5.00477555555555,1.86517339118747,-0.499522444444445,0.982886666379253,-0.473032013525833,5,7,0.00463337217956406,0.12,0.873141587391003,0.107890143825372
"11",10,10,4.66,34.52,0.15,36,4,5.28643155555556,1.70145808209356,-0.471356844444444,0.918136475733294,-0.460382547536186,5,7,0.0043281368536382,0.14,0.860026134825885,0.114673614233746
"12",11,10,5.8,36.2,0.15,36,5,6.28329530864197,1.53791373973176,-0.371670469135802,0.808520730265543,-0.474274330622363,5,7,0.00381140327400444,0.22,0.871496149113445,0.105192164930118
"13",12,10,5.94,34.4,0.15,36,6,6.40520088888889,1.66388073041559,-0.359479911111111,0.799934041469425,-0.519235948318469,5,7,0.00377092523483328,0.34,0.876144677004722,0.105640392747781
"14",13,10,5.52,28.34,0.2,16,3,6.13037822222222,1.49792409910232,-0.386962177777778,0.904261780194125,-0.396323364624395,5,7,0.00426273091162056,0.26,0.911027279567182,0.0843825366585132
"15",14,10,6.54,28.46,0.2,16,4,7.04595288888889,1.72321520313168,-0.295404711111111,0.828121671148057,-0.519432239430645,5,7,0.00390380299544218,0.48,0.909410732524447,0.0868257813243325
"16",15,10,7.06,29.56,0.2,16,5,7.54704177777778,1.58469148175234,-0.245295822222222,0.809911212093749,-0.488915526195575,5,7,0.00381795806820338,0.62,0.915280178926321,0.0814297168641025
"17",16,10,7.82,28.04,0.2,16,6,8.24102,1.58113801172731,-0.175898,0.736506811956594,-0.534191951307275,5,7,0.00347192640749729,0.78,0.90179833292033,0.0929360128972821
"18",17,10,5.14,31.06,0.2,25,3,5.72586888888889,1.69099986767793,-0.427413111111111,0.891591315101339,-0.472743119533376,5,7,0.00420300176636793,0.22,0.894459915471978,0.0940169878734382
