"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","credible_width","psi0_mean","psi0_sd","p","sigma","delta"
"1",1,10,3,119.833333333333,0.15,64,3,3.71870185185185,1.19927926224992,-0.628129814814815,1.01448820918625,-0.154085090003968,5,7,0.00478234328099594,0,3.41666666666667,0.930754027409438,0.0515028812322206,0.75,2,2
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"3",2,10,4.74,113.68,0.15,64,4,5.602908,1.71459091871616,-0.4397092,1.07345857099916,-0.373927297012085,5,7,0.00506033223250883,0.16,3.66,0.932059684966281,0.054690215831957,0.75,2,2
"4",3,10,5.06,113.5,0.15,64,5,5.67264311111111,1.70803154723719,-0.432735688888889,0.909819808528149,-0.467328451866232,5,7,0.004288931708454,0.2,3.06,0.927749554569567,0.0553758750599414,0.75,2,2
"5",4,10,5.48,111.92,0.15,64,6,6.11342488888889,1.63561184994217,-0.388657511111111,0.92864413319937,-0.432234406205724,5,7,0.00437767042596252,0.28,3.06,0.92903057026533,0.0571324255655076,0.75,2,2
"6",5,10,3,124.090909090909,0.15,81,3,3.72469494949495,1.1690698542253,-0.627530505050505,1.01673370550839,-0.130305428855534,5,7,0.00479292865217274,0,3.36363636363636,0.927754053877902,0.0532563821542048,0.75,2,2
"7",6,10,4.7,120.5,0.15,81,4,5.51774577777778,1.86191470510429,-0.448225422222222,1.06390624379274,-0.428595605976939,5,7,0.00501530213021705,0.22,3.6,0.92876123026429,0.0569263421205322,0.75,2,2
"8",7,10,4.6,118.84,0.15,81,5,5.289488,1.48859861880241,-0.4710512,0.970781675793173,-0.347855316046056,5,7,0.00457630870669995,0.1,3.26,0.922684074902622,0.0583430199277545,0.75,2,2
"9",8,10,5.8,120.48,0.15,81,6,6.33555688888889,1.59406248543339,-0.366444311111111,0.853676670069377,-0.464464738446383,5,7,0.00402427041564538,0.32,2.9,0.922889624032584,0.0592840454151685,0.75,2,2
"10",9,10,4.02,126.12,0.15,100,3,4.81484444444444,1.77935232816467,-0.518515555555556,1.04305815319445,-0.41379897804145,5,7,0.00491702328863811,0.12,3.52,0.915319462933732,0.0637233086482107,0.75,2,2
"11",10,10,4.4,127.68,0.15,100,4,5.01902533333333,1.43385704273032,-0.498097466666667,0.929075758516743,-0.352044359493738,5,7,0.00437970512722149,0.06,3.02,0.919928611695219,0.0609031332553994,0.75,2,2
"12",11,10,4.76,124.8,0.15,100,5,5.39620444444444,1.7934167809025,-0.460379555555556,0.941482322084372,-0.475034285331828,5,7,0.00443819022875411,0.2,3.14,0.920625879010713,0.0603872691581714,0.75,2,2
"13",12,10,5.68,125.94,0.15,100,6,6.22842977777778,1.61537217989195,-0.377157022222222,0.856765507883985,-0.469617269290043,5,7,0.00403883133674335,0.28,2.86,0.923632449164971,0.0592450365812066,0.75,2,2
"14",13,10,5.18,108.88,0.2,64,3,5.88143955555556,1.6313042653637,-0.411856044444444,0.97970547840609,-0.399434244605703,5,7,0.00461837591564371,0.22,3.30050000000003,0.947035410904985,0.0444420636745096,0.75,2,2
